Patient group,,Baseline,,Percent change,,"Treatment comparisons 95%CI for LS mean diff"
,N,Mean,(SE),Mean,(SE),
ITT patients,,,,,,
Atorvastatin,1888,178.5,0.79,-36.1,0.25,
Fluvastatin,474,178.9,1.59,-18.8,0.54,"-18.5, -16.1"
Lovastatin,472,178.1,1.46,-26.7,0.58,"-10.7, -8.3"
Pravastatin,461,179.3,1.57,-19.6,0.58,"-17.7, -15.3"
Simvastatin,462,175.6,1.45,-29.5,0.54,"-7.7, -5.3"
<70 years of age,,,,,,
Atorvastatin,1386,180.4,0.95,-35.2,0.29,
Fluvastatin,340,179.9,1.94,-17.7,0.66,"-18.9, -16.1"
Lovastatin,350,180.3,1.73,-25.2,0.68,"-11.4, -8.7"
Pravastatin,348,181.6,1.87,-19.2,0.66,"-17.3, -14.7"
Simvastatin,345,178.1,1.72,-28.6,0.63,"-7.8, -5.1"
≥70 yrs,,,,,,
Atorvastatin,502,173.4,1.39,-38.7,0.46,
Fluvastatin,134,176.5,2.76,-21.8,0.92,"-19.1, -15.0"
Lovastatin,122,171.7,2.63,-30.9,1.00,"-9.9, -5.6"
Pravastatin,113,172.5,2.68,-20.8,1.24,"-20.0, -15.7"
Simvastatin,117,168.2,2.56,-32.2,0.96,"-8.4, -4.1"
