(A),Gla-300,,,Gla-100,,,,Mean difference
Study or subgroup,Mean,SD,Total,Mean,SD,Total,Weight,"IV, Random, 95% CI"
Bolli 2015,-1.41,1.03,432,-1.46,1.03,430,13.1%,"0.05 [-0.09, 0.19]"
Bolli 2017,-1.29,1.05,439,-1.21,1.05,439,12.8%,"-0.08 [-0.22, 0.06]"
Jarvinen 2014,-0.57,1.8,403,-0.56,1.81,405,4.0%,"-0.01 [-0.26, 0.24]"
Jarvinen 2015,-0.55,1.18,403,-0.5,1.12,405,9.8%,"-0.05 [-0.21, 0.11]"
Linong 2019,-1.5,1.99,397,-1.5,1.4,201,3.3%,"0.00 [-0.28, 0.28]"
Riddle 2014,-0.88,0.81,404,-0.86,0.92,400,17.2%,"-0.02 [-0.14, 0.10]"
Riddle 2015,-0.91,1.21,404,-0.74,1.2,402,8.9%,"-0.17 [-0.34, -0.00]"
Ritzel 2018,-0.89,0.97,508,-0.94,1.06,506,15.8%,"0.05 [-0.08, 0.18]"
Terauchi 2016,-0.45,0.65,120,-0.55,0.65,120,9.1%,"0.10 [-0.06, 0.26]"
Terauchi 2017,-0.3,0.8,120,-0.3,0.8,120,6.0%,"0.00 [-0.20, 0.20]"
Total (95% CI),,,3630,,,3428,100.0%,"-0.01 [-0.06, 0.04]"
